"","SERIALNO","PUMA","ST","WGTP","state","residence","family_structure","child1_age","child2_age","child3_age","child4_age","child5_age","parent1_age","parent2_age","disability_parent1","disability_parent2","disability_child1","disability_child2","disability_child3","disability_child4","disability_child5","cs_flag","breastfeeding","nontraditionalwork","immigration","parent1_max_work","maxshiftlength_parent1","maxworkweek_parent1","backtobackshifts_parent1","weekenddaysworked","parent1_first_max","backtobackshifts_parent2","workdaystart","user_trans_type","savings","vehicle1_value","vehicle2_value","vehicle1_owed","vehicle2_owed","debt_payment","privateplan_type","hlth_amt_parent_m","hlth_amt_family_m","hlth_costs_oop_m","userplantype","disability_medical_expenses_mnth","housing_override","housing_override_amt","home_type","fuel_source","energy_cost_override","energy_cost_override_amt","food_override","trans_override","trans_override_parent1_amt","trans_override_parent2_amt","other_override","disability_personal_expenses_m","disability_flag","fosterchild_flag","noncitizen_flag","felony_conviction_flag","parent2_max_work","maxshiftlength_parent2","maxworkweek_parent2","child1_foster_status","child2_foster_status","child3_foster_status","child4_foster_status","child5_foster_status","child1_immigration_status","child2_immigration_status","child3_immigration_status","child4_immigration_status","child5_immigration_status","itin","other_parent_timeoff_for_newborn","mother_timeoff_for_newborn","state_mctr","fli","tdi","baseline","compare_flag","snap_training","fullday_prek","fullday_k","recent_tanf_exit_flag","tanfwork"
"3842","2019HU0767071","02500","34",41,"New Jersey","Salem & Cumberland (North) Counties--Bridgeton City","two-parent",10,-1,-1,-1,-1,31,35,"0","0","0","-9","-9","-9","-9",0,1,1,0,40,8,42,0.3,0,-10.58,0,"7:10","01",5123,26442,26461,0,0,14263,"employer",0,0,1050,"employer",0,"1",1100,"house","4",1,460,593,"0","0","0",672,0,NA,NA,NA,NA,36,7,22,"0","-9","-9","-9","-9","1","-9","-9","-9","-9",NA,0,12.5,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3843","2019HU0767234","00602","34",141,"New Jersey","Hudson County (Central)--Jersey City (South)","two-parent",4,9,14,-1,-1,45,41,"0","0","0","0","0","-9","-9",0,1,0,0,48,9,52,1.2,1,NA,NA,"5:35","01",6476,23928,23947,0,0,15453,"employer",0,0,892,"employer",0,"1",1500,"apartment","1",1,160,698,"0","0","0",571,0,NA,NA,NA,NA,NA,NA,NA,"0","0","0","-9","-9","1","1","1","-9","-9",NA,1.7,18.4,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3844","2019HU0767595","00701","34",109,"New Jersey","Hudson County (North)--West New York, Secaucus & Guttenberg Towns","two-parent",9,9,13,16,-1,44,40,"0","0","0","0","0",NA,"-9",0,1,0,0,50,10,52,0.1,1.25,1,0.1,"8:25","01",4541,23461,23480,14624,16103,7068,"employer",0,0,981,"employer",0,"1",0,"house","1",1,505,638,"0","0","0",622,0,NA,NA,NA,NA,40,8,52,"0","0","0","0","-9","1","1","1","1","-9",NA,0.4,5.2,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3845","2019HU0767921","01504","34",73,"New Jersey","Morris County (South)--Morristown Town, Madison & Florham Park Boroughs","two-parent",11,15,-1,-1,-1,50,48,"0","0","0","0","-9","-9","-9",0,1,0,0,40,8,52,-9,0,NA,0.2,NA,"11",4899,22500,22519,0,0,13695,"employer",0,0,809,"employer",0,"1",4800,"house","1",1,290,564,"1","0","0",687,0,NA,NA,NA,NA,50,10,52,"0","0","-9","-9","-9","1","1","-9","-9","-9",NA,0,11.6,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3846","2019HU0768059","01502","34",73,"New Jersey","Morris County (West)","two-parent",8,11,-1,-1,-1,47,46,"0","0","0","0","-9","-9","-9",0,1,0,0,40,8,52,1.5,0,NA,NA,"7:35","01",5883,20126,20145,15596,17075,4640,"employer",0,0,719,"employer",0,"1",2400,"house","1",1,340,692,"0","0","0",690,0,NA,NA,NA,NA,40,8,52,"0","0","-9","-9","-9","1","1","-9","-9","-9",NA,1.5,9.7,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3847","2019HU0768195","02303","34",383,"New Jersey","Mercer County (South)","two-parent",11,-1,-1,-1,-1,52,47,"0","0","0","-9","-9","-9","-9",0,1,0,0,40,8,52,0,0,NA,NA,"8:40","01",3909,17171,0,0,0,8955,"employer",0,0,558,"employer",0,"1",1500,"house","1",1,250,704,"0","0","0",634,0,NA,NA,NA,NA,NA,NA,NA,"0","-9","-9","-9","-9","1","-9","-9","-9","-9",NA,0.5,10.4,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3848","2019HU0768590","00800","34",55,"New Jersey","Hunterdon County","two-parent",7,8,-1,-1,-1,46,45,"0","0","0","0","-9","-9","-9",0,1,0,0,45,9,52,1,0.62,-0.08,0.2,"8:20","01",5550,18929,18947,15319,16798,14306,"employer",0,0,1067,"employer",0,"1",740,"house","1",1,263,594,"0","0","0",581,0,NA,NA,NA,NA,10,2,20,"0","0","-9","-9","-9","1","1","-9","-9","-9",NA,0,13,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3849","2019HU0768820","01501","34",131,"New Jersey","Morris County (North)--Dover Town & Kinnelon Borough","two-parent",1,-1,-1,-1,-1,29,29,"0","0","0","-9","-9","-9","-9",0,1,0,0,40,8,52,0.2,0,-1.33,0.5,"7:0","01",6323,24081,24100,14528,16006,13253,"employer",0,0,882,"employer",0,"1",2200,"house","3",1,209,563,"0","0","0",549,0,NA,NA,NA,NA,30,6,40,"0","-9","-9","-9","-9","1","-9","-9","-9","-9",NA,1.3,17,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3850","2019HU0768971","02003","34",255,"New Jersey","Burlington County (South & East)","two-parent",5,11,-1,-1,-1,37,44,"0","0","0","0","-9","-9","-9",0,0,0,0,40,8,52,2.3,0,-0.58,0.8,"8:45","04",4894,31660,31679,0,0,5668,"employer",0,0,510,"employer",0,"1",2800,"house","1",1,190,738,"0","0","0",553,0,NA,NA,NA,NA,40,8,52,"0","0","-9","-9","-9","1","1","-9","-9","-9",NA,0,9.8,1,NA,NA,"0","0",NA,NA,NA,NA,NA
"3851","2019HU0769058","02002","34",87,"New Jersey","Burlington County (West Central)","two-parent",0,3,-1,-1,-1,30,31,"0","0","0","0","-9","-9","-9",0,1,0,0,40,8,48,0.2,0,NA,NA,"8:50","01",4646,21199,21218,14569,16048,11503,"employer",0,0,476,"employer",0,"1",1700,"house","1",1,299,806,"0","0","0",686,0,NA,NA,NA,NA,40,8,44,"0","0","-9","-9","-9","1","1","-9","-9","-9",NA,1.6,15.2,1,NA,NA,"0","0",NA,NA,NA,NA,NA
